difficulty	halflife	p_recall	delta_t	reps	lapses	last_date	due_date	r_history	t_history	p_history	state	cost
9	335.6055	0.9959	2	6	2	87	95	0,0,0,1,1,1,1,1,1	0,1,1,1,1,4,8,19,44	0.39,0.48,0.50,0.50,0.90,0.81,0.85,0.84,0.83	[335.60545515335394, 13]	10
3	363.058	0.9516	26	5	1	63	423	1,0,1,1,1,1,1	0,7,1,3,7,29,8	0.72,0.84,0.87,0.87,0.89,0.82,0.98	[363.057957508416, 5]	7
3	364.5756	0.9163	46	2	0	43	403	1,1,1	0,7,28	0.72,0.84,0.83	[364.5756157885422, 3]	2
7	367.2851	0.9575	23	4	0	66	426	1,1,1,1,1	0,3,6,13,36	0.49,0.85,0.89,0.89,0.86	[367.2850546328324, 7]	4
3	46.9604	0.9853	1	2	2	88	96	1,1,0,1,1,0,1,1	0,7,28,2,9,29,2,3	0.72,0.84,0.83,0.84,0.80,0.82,0.83,0.92	[46.960350961631974, 7]	9
3	364.5756	0.9163	46	2	0	43	403	1,1,1	0,7,28	0.72,0.84,0.83	[364.5756157885422, 3]	2
2	378.2559	0.9074	53	2	0	36	396	1,1,1	0,6,22	0.78,0.89,0.88	[378.25594580003053, 2]	2
1	378.4996	0.891	63	2	0	26	386	1,1,1	0,4,14	0.86,0.95,0.93	[378.4995647708584, 1]	2
5	366.2218	0.9395	33	3	0	56	416	1,1,1,1	0,3,10,35	0.61,0.89,0.86,0.82	[366.22177852355964, 5]	3
6	50.4684	0.8365	13	3	2	76	91	0,1,1,1,1,0,1,0,1,1,1	0,1,2,5,16,31,2,4,1,2,4	0.55,0.62,0.88,0.89,0.85,0.89,0.87,0.90,0.87,0.89,0.90	[50.468440210761585, 10]	12
4	369.3764	0.9294	39	3	0	50	410	1,1,1,1	0,3,8,31	0.66,0.91,0.90,0.84	[369.3763802085206, 4]	3
3	364.5756	0.9163	46	2	0	43	403	1,1,1	0,7,28	0.72,0.84,0.83	[364.5756157885422, 3]	2
7	367.2851	0.9575	23	4	0	66	426	1,1,1,1,1	0,3,6,13,36	0.49,0.85,0.89,0.89,0.86	[367.2850546328324, 7]	4
7	367.2851	0.9575	23	4	0	66	426	1,1,1,1,1	0,3,6,13,36	0.49,0.85,0.89,0.89,0.86	[367.2850546328324, 7]	4
5	372.5786	0.9671	18	6	1	71	431	0,1,0,1,1,1,1,1,1	0,1,2,1,3,7,12,30,6	0.61,0.68,0.89,0.84,0.85,0.87,0.91,0.88,0.99	[372.5786337192822, 7]	9
7	370.1569	0.9632	20	5	0	69	429	0,1,1,1,1,1	0,1,2,6,16,35	0.49,0.57,0.87,0.85,0.85,0.87	[370.15690729536186, 7]	5
9	177.5	0.886	31	5	3	58	97	0,0,1,0,1,1,0,1,1,1,1,1	0,1,1,2,1,2,3,1,3,7,11,17	0.39,0.48,0.50,0.83,0.78,0.86,0.91,0.86,0.82,0.83,0.88,0.90	[177.50000094431084, 15]	14
8	370.1117	0.9705	16	4	0	73	433	1,1,1,1,1	0,2,7,14,41	0.44,0.88,0.83,0.87,0.83	[370.1117185361688, 8]	4
6	371.2975	0.9508	27	4	0	62	422	1,1,1,1,1	0,3,6,16,28	0.55,0.87,0.90,0.88,0.91	[371.2975025028532, 6]	4
7	367.2851	0.9593	22	4	0	67	427	1,1,1,1,1	0,3,6,13,36	0.49,0.85,0.89,0.89,0.86	[367.2850546328324, 7]	4
9	147.4877	0.8286	40	5	3	49	95	0,0,0,1,1,0,1,1,1,1,1	0,1,1,1,1,4,1,2,4,7,18	0.39,0.48,0.50,0.50,0.90,0.81,0.81,0.86,0.87,0.89,0.84	[147.48770467747775, 15]	13
5	366.2218	0.9412	32	3	0	57	417	1,1,1,1	0,3,10,35	0.61,0.89,0.86,0.82	[366.22177852355964, 5]	3
6	10.4881	0.936	1	1	3	88	90	1,1,1,1,0,1,1,0,1,0,1	0,3,6,16,28,2,6,13,1,3,1	0.55,0.87,0.90,0.88,0.91,0.88,0.85,0.87,0.90,0.86,0.83	[10.488086384646662, 12]	13
6	372.0628	0.9545	25	5	0	64	424	0,1,1,1,1,1	0,1,2,5,16,31	0.55,0.62,0.88,0.89,0.85,0.89	[372.06279030170253, 6]	5
9	369.3518	0.9759	13	5	0	76	436	1,1,1,1,1,1	0,2,5,8,17,35	0.39,0.86,0.86,0.91,0.89,0.88	[369.35175212990805, 9]	5
8	370.1117	0.9705	16	4	0	73	433	1,1,1,1,1	0,2,7,14,41	0.44,0.88,0.83,0.87,0.83	[370.1117185361688, 8]	4
2	225.6904	0.9668	11	4	3	78	91	1,0,1,1,0,1,1,1,0,1,1,1,1	0,6,1,4,6,1,2,5,8,2,5,6,23	0.78,0.89,0.89,0.86,0.93,0.91,0.92,0.90,0.93,0.84,0.86,0.93,0.85	[225.69044558151532, 8]	15
3	364.5756	0.918	45	2	0	44	404	1,1,1	0,7,28	0.72,0.84,0.83	[364.5756157885422, 3]	2
4	372.5281	0.9545	25	6	1	64	424	0,0,1,1,1,1,1,1	0,1,1,3,8,13,23,6	0.66,0.73,0.65,0.83,0.86,0.91,0.92,0.99	[372.5280800240044, 6]	8
7	133.5403	0.847	32	5	4	57	99	0,1,0,0,1,1,0,1,1,0,1,1,1,1,1	0,1,2,1,1,2,5,1,2,5,1,2,5,7,13	0.49,0.57,0.87,0.81,0.71,0.86,0.85,0.85,0.88,0.86,0.85,0.87,0.85,0.90,0.89	[133.54027583831896, 15]	18
6	372.0628	0.9545	25	5	0	64	424	0,1,1,1,1,1	0,1,2,5,16,31	0.55,0.62,0.88,0.89,0.85,0.89	[372.06279030170253, 6]	5
4	269.0036	0.9696	12	6	4	77	91	1,0,1,0,1,0,0,1,1,1,1,1,1	0,3,1,3,1,3,1,1,2,3,9,11,30	0.66,0.91,0.87,0.87,0.84,0.84,0.82,0.71,0.85,0.91,0.85,0.91,0.86	[269.0035910161109, 12]	16
2	374.8187	0.9117	50	3	0	39	399	0,1,1,1	0,1,5,24	0.78,0.83,0.85,0.84	[374.81870014267787, 2]	3
7	370.1569	0.9632	20	5	0	69	429	0,1,1,1,1,1	0,1,2,6,16,35	0.49,0.57,0.87,0.85,0.85,0.87	[370.15690729536186, 7]	5
7	370.1569	0.9632	20	5	0	69	429	0,1,1,1,1,1	0,1,2,6,16,35	0.49,0.57,0.87,0.85,0.85,0.87	[370.15690729536186, 7]	5
9	346.2078	0.9861	7	6	1	82	90	0,0,1,1,1,1,1,1	0,1,1,2,4,7,16,42	0.39,0.48,0.50,0.83,0.87,0.90,0.87,0.83	[346.2077844562977, 11]	8
5	366.2218	0.9412	32	3	0	57	417	1,1,1,1	0,3,10,35	0.61,0.89,0.86,0.82	[366.22177852355964, 5]	3
5	366.2218	0.9412	32	3	0	57	417	1,1,1,1	0,3,10,35	0.61,0.89,0.86,0.82	[366.22177852355964, 5]	3
2	53.2245	0.9248	6	3	4	83	90	0,1,1,0,1,1,1,0,0,0,1,1,1	0,1,5,24,1,5,7,20,2,1,1,2,5	0.78,0.83,0.85,0.84,0.91,0.84,0.93,0.90,0.87,0.81,0.71,0.86,0.86	[53.22453166931714, 10]	16
1	378.4996	0.8927	62	2	0	27	387	1,1,1	0,4,14	0.86,0.95,0.93	[378.4995647708584, 1]	2
5	368.7551	0.9434	31	5	0	58	418	0,1,1,1,1,1	0,1,2,5,10,31	0.61,0.68,0.89,0.90,0.91,0.87	[368.7551436009584, 5]	5
4	372.5281	0.9545	25	6	1	64	424	0,0,1,1,1,1,1,1	0,1,1,3,8,13,23,6	0.66,0.73,0.65,0.83,0.86,0.91,0.92,0.99	[372.5280800240044, 6]	8
4	369.3764	0.9312	38	3	0	51	411	1,1,1,1	0,3,8,31	0.66,0.91,0.90,0.84	[369.3763802085206, 4]	3
2	378.2559	0.9091	52	2	0	37	397	1,1,1	0,6,22	0.78,0.89,0.88	[378.25594580003053, 2]	2
10	371.5964	0.987	7	5	0	82	442	1,1,1,1,1,1	0,2,5,9,19,37	0.34,0.84,0.85,0.89,0.88,0.88	[371.5964115666552, 10]	5
8	65.124	0.9482	5	4	5	84	99	0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1	0,1,2,7,1,3,6,13,17,2,4,1,2,1,1,2,4,7	0.44,0.53,0.85,0.82,0.85,0.84,0.88,0.87,0.92,0.87,0.88,0.86,0.88,0.82,0.71,0.83,0.85,0.87	[65.12399083788112, 18]	22
6	372.0628	0.9563	24	5	0	65	425	0,1,1,1,1,1	0,1,2,5,16,31	0.55,0.62,0.88,0.89,0.85,0.89	[372.06279030170253, 6]	5
10	148.519	0.95	11	5	2	78	99	1,1,1,1,0,0,1,1,1,1,1	0,2,5,9,19,2,1,2,4,7,17	0.34,0.84,0.85,0.89,0.88,0.84,0.79,0.86,0.87,0.89,0.85	[148.51901453022018, 14]	12
10	367.5182	0.9887	6	6	0	83	443	0,1,1,1,1,1,1	0,1,2,4,7,16,43	0.34,0.43,0.83,0.88,0.90,0.88,0.84	[367.5182326640054, 10]	6
7	156.955	0.8837	28	6	6	61	99	0,0,0,1,1,0,0,0,0,1,1,1,1,1,1	0,1,1,1,2,5,1,1,1,1,2,3,6,13,13	0.49,0.57,0.55,0.54,0.83,0.85,0.85,0.74,0.65,0.58,0.81,0.88,0.87,0.85,0.92	[156.95503202858976, 18]	20
4	369.3764	0.9329	37	3	0	52	412	1,1,1,1	0,3,8,31	0.66,0.91,0.90,0.84	[369.3763802085206, 4]	3
1	378.4996	0.8943	61	2	0	28	388	1,1,1	0,4,14	0.86,0.95,0.93	[378.4995647708584, 1]	2
7	367.2851	0.9611	21	4	0	68	428	1,1,1,1,1	0,3,6,13,36	0.49,0.85,0.89,0.89,0.86	[367.2850546328324, 7]	4
5	379.1873	0.9694	17	6	1	72	432	0,0,1,1,1,1,1,1	0,1,1,2,5,12,33,8	0.61,0.68,0.62,0.87,0.88,0.88,0.85,0.98	[379.18734311225063, 7]	8
6	144.6224	0.9763	5	3	1	84	121	1,1,1,1,0,1,1,1	0,3,6,16,28,2,6,13	0.55,0.87,0.90,0.88,0.91,0.88,0.85,0.87	[144.62239304283486, 8]	8
9	346.2078	0.9881	6	6	1	83	91	0,0,1,1,1,1,1,1	0,1,1,2,4,7,16,42	0.39,0.48,0.50,0.83,0.87,0.90,0.87,0.83	[346.2077844562977, 11]	8
3	364.5756	0.9197	44	2	0	45	405	1,1,1	0,7,28	0.72,0.84,0.83	[364.5756157885422, 3]	2
6	372.0628	0.9563	24	5	0	65	425	0,1,1,1,1,1	0,1,2,5,16,31	0.55,0.62,0.88,0.89,0.85,0.89	[372.06279030170253, 6]	5
6	378.0579	0.9782	12	6	1	77	437	0,0,1,1,1,1,1,1	0,1,1,2,6,13,37,7	0.55,0.62,0.58,0.86,0.84,0.87,0.84,0.99	[378.0578566314715, 8]	8
5	366.2218	0.943	31	3	0	58	418	1,1,1,1	0,3,10,35	0.61,0.89,0.86,0.82	[366.22177852355964, 5]	3
2	192.34	0.9577	12	6	6	77	93	1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1	0,6,1,4,6,1,2,1,1,2,1,1,1,2,6,8,24	0.78,0.89,0.89,0.86,0.93,0.91,0.92,0.86,0.76,0.87,0.81,0.70,0.92,0.91,0.85,0.90,0.84	[192.33999639008454, 14]	22
4	370.0995	0.9366	35	4	0	54	414	0,1,1,1,1	0,1,3,8,32	0.66,0.73,0.86,0.89,0.83	[370.09947232165575, 4]	4
4	369.3764	0.9329	37	3	0	52	412	1,1,1,1	0,3,8,31	0.66,0.91,0.90,0.84	[369.3763802085206, 4]	3
7	367.2851	0.9611	21	4	0	68	428	1,1,1,1,1	0,3,6,13,36	0.49,0.85,0.89,0.89,0.86	[367.2850546328324, 7]	4
8	169.5996	0.96	10	6	6	79	117	0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1	0,1,1,1,1,2,3,8,1,2,5,1,2,1,2,3,7,13,15	0.44,0.53,0.52,0.52,0.52,0.81,0.89,0.85,0.87,0.88,0.85,0.85,0.87,0.80,0.85,0.89,0.86,0.87,0.91	[169.59959769336209, 18]	24
4	370.0995	0.9366	35	4	0	54	414	0,1,1,1,1	0,1,3,8,32	0.66,0.73,0.86,0.89,0.83	[370.09947232165575, 4]	4
7	367.2851	0.9611	21	4	0	68	428	1,1,1,1,1	0,3,6,13,36	0.49,0.85,0.89,0.89,0.86	[367.2850546328324, 7]	4
4	87.3192	0.9237	10	3	2	79	91	0,1,1,1,0,1,1,0,1,1,1	0,1,3,8,32,1,3,9,1,3,8	0.66,0.73,0.86,0.89,0.83,0.92,0.89,0.86,0.89,0.86,0.86	[87.31920951062695, 8]	12
9	369.3518	0.9777	12	5	0	77	437	1,1,1,1,1,1	0,2,5,8,17,35	0.39,0.86,0.86,0.91,0.89,0.88	[369.35175212990805, 9]	5
8	368.3393	0.974	14	5	0	75	435	0,1,1,1,1,1	0,1,2,7,14,41	0.44,0.53,0.85,0.82,0.87,0.83	[368.3393006788219, 8]	5
6	371.2975	0.9526	26	4	0	63	423	1,1,1,1,1	0,3,6,16,28	0.55,0.87,0.90,0.88,0.91	[371.2975025028532, 6]	4
5	366.2218	0.943	31	3	0	58	418	1,1,1,1	0,3,10,35	0.61,0.89,0.86,0.82	[366.22177852355964, 5]	3
4	370.0995	0.9366	35	4	0	54	414	0,1,1,1,1	0,1,3,8,32	0.66,0.73,0.86,0.89,0.83	[370.09947232165575, 4]	4
4	369.3764	0.9329	37	3	0	52	412	1,1,1,1	0,3,8,31	0.66,0.91,0.90,0.84	[369.3763802085206, 4]	3
10	347.8206	0.998	1	6	1	88	97	0,0,1,1,1,1,1,1	0,1,1,1,3,9,16,47	0.34,0.43,0.47,0.90,0.86,0.82,0.87,0.81	[347.8206459822411, 12]	8
5	360.6714	0.9885	6	6	2	83	443	0,1,0,1,0,1,1,1,1,1,1	0,1,2,1,3,1,2,6,15,32,10	0.61,0.68,0.89,0.84,0.85,0.82,0.89,0.85,0.85,0.86,0.98	[360.67137706173196, 9]	12
5	110.2999	0.9274	12	4	3	77	90	1,1,0,1,1,1,0,1,0,1,1,1,1	0,3,10,1,3,11,13,2,5,1,2,5,11	0.61,0.89,0.86,0.89,0.87,0.82,0.92,0.86,0.86,0.86,0.89,0.87,0.87	[110.29994658910157, 11]	15
10	367.5182	0.9887	6	6	0	83	443	0,1,1,1,1,1,1	0,1,2,4,7,16,43	0.34,0.43,0.83,0.88,0.90,0.88,0.84	[367.5182326640054, 10]	6
6	144.6224	0.9763	5	3	1	84	121	1,1,1,1,0,1,1,1	0,3,6,16,28,2,6,13	0.55,0.87,0.90,0.88,0.91,0.88,0.85,0.87	[144.62239304283486, 8]	8
6	311.9041	0.9824	8	5	2	81	92	0,0,1,1,0,1,1,1,1,1	0,1,1,2,6,1,2,4,15,39	0.55,0.62,0.58,0.86,0.84,0.86,0.89,0.90,0.81,0.81	[311.9041259860707, 10]	11
5	366.2218	0.943	31	3	0	58	418	1,1,1,1	0,3,10,35	0.61,0.89,0.86,0.82	[366.22177852355964, 5]	3
3	364.5756	0.9197	44	2	0	45	405	1,1,1	0,7,28	0.72,0.84,0.83	[364.5756157885422, 3]	2
4	369.3764	0.9329	37	3	0	52	412	1,1,1,1	0,3,8,31	0.66,0.91,0.90,0.84	[369.3763802085206, 4]	3
7	367.2851	0.9611	21	4	0	68	428	1,1,1,1,1	0,3,6,13,36	0.49,0.85,0.89,0.89,0.86	[367.2850546328324, 7]	4
6	377.2779	0.98	11	6	1	78	438	1,0,1,1,1,1,1,1	0,3,1,2,6,16,33,7	0.55,0.87,0.84,0.89,0.86,0.85,0.87,0.99	[377.2779272074495, 8]	8
7	370.1569	0.965	19	5	0	70	430	0,1,1,1,1,1	0,1,2,6,16,35	0.49,0.57,0.87,0.85,0.85,0.87	[370.15690729536186, 7]	5
3	364.5756	0.9197	44	2	0	45	405	1,1,1	0,7,28	0.72,0.84,0.83	[364.5756157885422, 3]	2
6	371.2975	0.9526	26	4	0	63	423	1,1,1,1,1	0,3,6,16,28	0.55,0.87,0.90,0.88,0.91	[371.2975025028532, 6]	4
9	369.8664	0.9814	10	6	0	79	439	0,1,1,1,1,1,1	0,1,1,3,9,16,39	0.39,0.48,0.92,0.88,0.84,0.88,0.86	[369.86640187688675, 9]	6
5	372.5786	0.9707	16	6	1	73	433	0,1,0,1,1,1,1,1,1	0,1,2,1,3,7,12,30,6	0.61,0.68,0.89,0.84,0.85,0.87,0.91,0.88,0.99	[372.5786337192822, 7]	9
7	330.0576	0.9854	7	6	2	82	92	1,0,0,1,1,1,1,1,1	0,3,1,1,2,5,16,13,30	0.49,0.85,0.82,0.72,0.86,0.85,0.80,0.93,0.90	[330.05758637062416, 11]	10
2	378.2559	0.9124	50	2	0	39	399	1,1,1	0,6,22	0.78,0.89,0.88	[378.25594580003053, 2]	2
10	213.9859	0.9903	3	6	6	86	121	0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1	0,1,2,1,1,1,1,1,3,6,1,3,1,2,4,8,19,20	0.34,0.43,0.83,0.78,0.68,0.61,0.56,0.90,0.84,0.85,0.86,0.81,0.79,0.85,0.86,0.86,0.83,0.91	[213.9858935781969, 18]	23
6	50.1799	0.871	10	3	2	79	94	1,1,1,1,0,1,0,1,1,1	0,3,6,16,28,2,6,1,2,4	0.55,0.87,0.90,0.88,0.91,0.88,0.85,0.86,0.89,0.90	[50.17986830884283, 10]	11
3	364.5756	0.9215	43	2	0	46	406	1,1,1	0,7,28	0.72,0.84,0.83	[364.5756157885422, 3]	2
3	82.8021	0.951	6	3	3	83	90	1,0,1,1,1,0,1,1,0,1,1,1	0,7,1,3,7,29,2,3,8,1,3,8	0.72,0.84,0.87,0.87,0.89,0.82,0.83,0.92,0.89,0.89,0.86,0.85	[82.80214521704892, 9]	14
6	372.0628	0.9581	23	5	0	66	426	0,1,1,1,1,1	0,1,2,5,16,31	0.55,0.62,0.88,0.89,0.85,0.89	[372.06279030170253, 6]	5
6	371.2975	0.9544	25	4	0	64	424	1,1,1,1,1	0,3,6,16,28	0.55,0.87,0.90,0.88,0.91	[371.2975025028532, 6]	4
2	381.2898	0.9892	6	5	1	83	443	1,1,0,1,1,1,1,1	0,6,22,2,6,24,9,3	0.78,0.89,0.88,0.86,0.88,0.83,0.98,0.99	[381.289843384427, 4]	8
10	155.0443	0.9351	15	4	2	74	121	0,0,1,1,1,1,0,1,1,1,1	0,1,1,1,3,9,16,2,4,9,17	0.34,0.43,0.47,0.90,0.86,0.82,0.87,0.82,0.86,0.85,0.87	[155.04434338002812, 14]	12
9	233.7336	0.9258	26	5	1	63	92	1,1,0,1,1,1,1,1	0,2,5,1,3,6,16,19	0.39,0.86,0.86,0.86,0.84,0.87,0.84,0.91	[233.733634582303, 11]	8
5	366.2218	0.9448	30	3	0	59	419	1,1,1,1	0,3,10,35	0.61,0.89,0.86,0.82	[366.22177852355964, 5]	3
2	374.8187	0.9151	48	3	0	41	401	0,1,1,1	0,1,5,24	0.78,0.83,0.85,0.84	[374.81870014267787, 2]	3
8	20.0747	0.9016	3	1	3	86	92	0,0,0,1,1,1,1,1,0,1	0,1,1,1,2,6,7,14,41,2	0.44,0.53,0.52,0.52,0.83,0.81,0.91,0.90,0.83,0.85	[20.074680856406403, 14]	12
5	379.1873	0.9712	16	6	1	73	433	0,0,1,1,1,1,1,1	0,1,1,2,5,12,33,8	0.61,0.68,0.62,0.87,0.88,0.88,0.85,0.98	[379.18734311225063, 7]	8
7	76.2927	0.9469	6	4	4	83	98	1,0,1,1,1,0,1,1,1,0,0,1,1,1,1	0,3,1,2,6,15,2,5,6,15,2,1,2,6,6	0.49,0.85,0.82,0.89,0.85,0.85,0.81,0.84,0.92,0.88,0.83,0.78,0.85,0.81,0.92	[76.29271702159507, 15]	18
5	379.1873	0.9712	16	6	1	73	433	0,0,1,1,1,1,1,1	0,1,1,2,5,12,33,8	0.61,0.68,0.62,0.87,0.88,0.88,0.85,0.98	[379.18734311225063, 7]	8
4	370.0995	0.9383	34	4	0	55	415	0,1,1,1,1	0,1,3,8,32	0.66,0.73,0.86,0.89,0.83	[370.09947232165575, 4]	4
8	368.3393	0.9758	13	5	0	76	436	0,1,1,1,1,1	0,1,2,7,14,41	0.44,0.53,0.85,0.82,0.87,0.83	[368.3393006788219, 8]	5
10	3.1299	0.6422	2	0	3	89	90	1,1,1,1,1,0,0,1,0	0,2,5,9,19,37,3,1,2	0.34,0.84,0.85,0.89,0.88,0.88,0.82,0.80,0.86	[3.129925775596139, 16]	11
4	369.3764	0.9347	36	3	0	53	413	1,1,1,1	0,3,8,31	0.66,0.91,0.90,0.84	[369.3763802085206, 4]	3
6	141.5806	0.855	32	3	1	57	94	1,1,1,0,1,1,1	0,3,6,16,2,6,13	0.55,0.87,0.90,0.88,0.84,0.84,0.87	[141.58060791061683, 8]	7
5	380.7536	0.9909	5	6	1	84	444	1,1,0,1,1,1,1,1,1	0,3,10,1,3,11,13,26,6	0.61,0.89,0.86,0.89,0.87,0.82,0.92,0.91,0.99	[380.75363945244476, 7]	9
9	174.4994	0.9459	14	4	1	75	116	1,1,1,1,0,1,1,1,1	0,2,5,8,17,2,3,7,20	0.39,0.86,0.86,0.91,0.89,0.85,0.91,0.88,0.84	[174.49937786201951, 11]	9
5	368.7551	0.9469	29	5	0	60	420	0,1,1,1,1,1	0,1,2,5,10,31	0.61,0.68,0.89,0.90,0.91,0.87	[368.7551436009584, 5]	5
9	153.3593	0.8346	40	5	3	49	93	1,0,0,0,1,1,1,1,1	0,2,1,1,1,2,4,8,19	0.39,0.86,0.80,0.70,0.62,0.83,0.86,0.87,0.84	[153.35928389282222, 15]	11
8	79.7657	0.9743	3	4	4	86	103	0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1	0,1,2,7,1,3,6,13,2,4,9,1,3,7,1,2,5,8	0.44,0.53,0.85,0.82,0.85,0.84,0.88,0.87,0.82,0.87,0.86,0.88,0.84,0.84,0.86,0.87,0.85,0.88	[79.76570599907737, 16]	21
4	374.4909	0.978	12	5	1	77	437	1,1,0,1,1,1,1,1	0,3,8,1,3,10,32,9	0.66,0.91,0.90,0.90,0.88,0.85,0.82,0.98	[374.49087532574885, 6]	8
8	370.1117	0.9741	14	4	0	75	435	1,1,1,1,1	0,2,7,14,41	0.44,0.88,0.83,0.87,0.83	[370.1117185361688, 8]	4
5	380.7536	0.9909	5	6	1	84	444	1,1,0,1,1,1,1,1,1	0,3,10,1,3,11,13,26,6	0.61,0.89,0.86,0.89,0.87,0.82,0.92,0.91,0.99	[380.75363945244476, 7]	9
9	169.0029	0.9327	17	4	1	72	113	0,1,1,1,1,0,1,1,1,1	0,1,1,3,9,16,1,3,8,19	0.39,0.48,0.92,0.88,0.84,0.88,0.91,0.87,0.85,0.84	[169.00292959414804, 11]	10
5	366.2218	0.9448	30	3	0	59	419	1,1,1,1	0,3,10,35	0.61,0.89,0.86,0.82	[366.22177852355964, 5]	3
8	370.1117	0.9741	14	4	0	75	435	1,1,1,1,1	0,2,7,14,41	0.44,0.88,0.83,0.87,0.83	[370.1117185361688, 8]	4
4	374.0448	0.9798	11	5	1	78	438	0,1,1,0,1,1,1,1,1	0,1,3,8,1,3,10,32,9	0.66,0.73,0.86,0.89,0.90,0.88,0.85,0.82,0.98	[374.044776432369, 6]	9
4	369.3764	0.9347	36	3	0	53	413	1,1,1,1	0,3,8,31	0.66,0.91,0.90,0.84	[369.3763802085206, 4]	3
6	371.2975	0.9544	25	4	0	64	424	1,1,1,1,1	0,3,6,16,28	0.55,0.87,0.90,0.88,0.91	[371.2975025028532, 6]	4
10	234.733	0.9234	27	5	1	62	93	0,1,0,1,1,1,1,1	0,1,2,1,3,7,17,20	0.34,0.43,0.83,0.78,0.80,0.84,0.83,0.91	[234.73296347338552, 12]	8
5	118.7681	0.9656	6	3	2	83	120	0,0,1,1,1,1,0,1,1,1	0,1,1,2,5,12,33,2,5,11	0.61,0.68,0.62,0.87,0.88,0.88,0.85,0.85,0.86,0.87	[118.7681004512386, 9]	11
3	372.1637	0.9265	41	4	0	48	408	0,1,1,1,1	0,1,3,8,25	0.72,0.78,0.88,0.90,0.88	[372.16371681362233, 3]	4
6	141.5806	0.855	32	3	1	57	94	1,1,1,0,1,1,1	0,3,6,16,2,6,13	0.55,0.87,0.90,0.88,0.84,0.84,0.87	[141.58060791061683, 8]	7
4	109.3147	0.8753	21	3	1	68	101	0,1,1,1,0,1,1,1	0,1,3,8,32,1,3,9	0.66,0.73,0.86,0.89,0.83,0.92,0.89,0.86	[109.31467080998549, 6]	8
6	52.5243	0.8649	11	2	2	78	90	0,0,1,1,1,1,0,1,1	0,1,1,2,6,13,37,2,5	0.55,0.62,0.58,0.86,0.84,0.87,0.84,0.85,0.86	[52.52425856383999, 10]	10
6	371.2975	0.9544	25	4	0	64	424	1,1,1,1,1	0,3,6,16,28	0.55,0.87,0.90,0.88,0.91	[371.2975025028532, 6]	4
5	24.1565	0.9717	1	2	3	88	93	1,1,1,0,1,1,0,1,0,1,1	0,3,10,35,2,5,12,2,5,1,2	0.61,0.89,0.86,0.82,0.85,0.87,0.87,0.81,0.85,0.85,0.88	[24.15652571656191, 11]	13
4	306.3641	0.9955	2	5	2	87	96	1,1,0,1,1,0,1,1,1,1,1	0,3,8,1,3,10,1,3,8,12,27	0.66,0.91,0.90,0.90,0.88,0.85,0.88,0.86,0.86,0.91,0.89	[306.36405498055484, 8]	12
3	364.5756	0.9215	43	2	0	46	406	1,1,1	0,7,28	0.72,0.84,0.83	[364.5756157885422, 3]	2
7	367.2851	0.963	20	4	0	69	429	1,1,1,1,1	0,3,6,13,36	0.49,0.85,0.89,0.89,0.86	[367.2850546328324, 7]	4
6	303.3099	0.9932	3	6	3	86	97	0,0,1,1,0,0,1,1,1,1,1,1	0,1,1,2,6,1,1,2,5,11,12,33	0.55,0.62,0.58,0.86,0.84,0.86,0.75,0.86,0.85,0.86,0.92,0.87	[303.3099033963176, 12]	14
3	364.5756	0.9215	43	2	0	46	406	1,1,1	0,7,28	0.72,0.84,0.83	[364.5756157885422, 3]	2
8	152.7585	0.8493	36	5	2	53	94	1,1,0,1,0,1,1,1,1,1	0,2,7,1,3,1,2,4,8,14	0.44,0.88,0.83,0.86,0.84,0.81,0.87,0.88,0.88,0.89	[152.7585437262301, 12]	11
1	378.4996	0.8959	60	2	0	29	389	1,1,1	0,4,14	0.86,0.95,0.93	[378.4995647708584, 1]	2
7	133.1726	0.8163	39	5	4	50	92	0,0,0,0,1,1,0,1,1,1,1,1	0,1,1,1,1,2,5,1,2,5,7,13	0.49,0.57,0.55,0.54,0.53,0.82,0.83,0.84,0.87,0.85,0.90,0.89	[133.17263233709716, 15]	15
7	384.6588	0.9892	6	7	1	83	443	0,0,1,1,1,1,1,1,1	0,1,1,2,4,6,16,35,7	0.49,0.57,0.55,0.85,0.89,0.92,0.88,0.87,0.99	[384.65884880085565, 9]	9
8	370.1117	0.9741	14	4	0	75	435	1,1,1,1,1	0,2,7,14,41	0.44,0.88,0.83,0.87,0.83	[370.1117185361688, 8]	4
5	366.2218	0.9448	30	3	0	59	419	1,1,1,1	0,3,10,35	0.61,0.89,0.86,0.82	[366.22177852355964, 5]	3
7	370.1569	0.9687	17	5	0	72	432	0,1,1,1,1,1	0,1,2,6,16,35	0.49,0.57,0.87,0.85,0.85,0.87	[370.15690729536186, 7]	5
8	206.1891	0.9071	29	6	3	60	91	0,0,0,0,1,1,1,1,1,1	0,1,1,1,1,2,3,8,14,17	0.44,0.53,0.52,0.52,0.52,0.81,0.89,0.85,0.87,0.92	[206.1890735162049, 14]	12
