difficulty	halflife	p_recall	delta_t	reps	lapses	last_date	due_date	r_history	t_history	p_history	state	cost
6	371.2975	0.935	36	4	0	53	413	1,1,1,1,1	0,3,6,16,28	0.55,0.87,0.90,0.88,0.91	[371.2975025028532, 6]	4
10	371.5964	0.9688	17	5	0	72	432	1,1,1,1,1,1	0,2,5,9,19,37	0.34,0.84,0.85,0.89,0.88,0.88	[371.5964115666552, 10]	5
4	369.3764	0.9156	47	3	0	42	402	1,1,1,1	0,3,8,31	0.66,0.91,0.90,0.84	[369.3763802085206, 4]	3
6	313.5529	0.9781	10	6	3	79	90	1,0,0,1,1,0,1,1,1,1,1,1	0,3,1,1,2,6,1,2,6,14,11,32	0.55,0.87,0.84,0.73,0.87,0.84,0.85,0.88,0.84,0.84,0.94,0.88	[313.55288292026313, 12]	14
8	79.7212	0.9913	1	4	3	88	105	0,0,1,1,1,1,1,0,0,1,1,1,1	0,1,1,2,5,7,20,35,2,1,2,5,7	0.44,0.53,0.52,0.84,0.85,0.91,0.86,0.88,0.87,0.81,0.87,0.85,0.90	[79.72117443339963, 14]	15
6	378.0579	0.9605	22	6	1	67	427	0,0,1,1,1,1,1,1	0,1,1,2,6,13,37,7	0.55,0.62,0.58,0.86,0.84,0.87,0.84,0.99	[378.0578566314715, 8]	8
8	325.6952	0.9894	5	6	2	84	95	0,1,1,0,1,0,1,1,1,1,1,1	0,1,2,7,1,3,1,2,4,8,14,41	0.44,0.53,0.85,0.82,0.85,0.84,0.81,0.87,0.88,0.88,0.89,0.83	[325.6952089386006, 12]	13
6	271.7951	0.96	16	6	5	73	91	0,0,0,0,0,0,1,1,1,1,1,1	0,1,1,1,1,1,1,2,5,6,16,38	0.55,0.62,0.58,0.56,0.54,0.53,0.52,0.80,0.82,0.90,0.85,0.82	[271.7951188759502, 16]	16
7	367.2851	0.9432	31	4	0	58	418	1,1,1,1,1	0,3,6,13,36	0.49,0.85,0.89,0.89,0.86	[367.2850546328324, 7]	4
1	378.4996	0.8781	71	2	0	18	378	1,1,1	0,4,14	0.86,0.95,0.93	[378.4995647708584, 1]	2
3	364.1424	0.9924	4	4	1	85	445	0,1,1,1,0,1,1,1,1	0,1,3,8,25,2,9,29,8	0.72,0.78,0.88,0.90,0.88,0.87,0.81,0.82,0.98	[364.1423633527034, 5]	9
4	318.4843	0.9978	1	4	1	88	95	1,1,1,0,1,1,1,1	0,3,8,31,1,4,9,32	0.66,0.91,0.90,0.84,0.92,0.86,0.88,0.83	[318.4842956691865, 6]	8
2	378.2559	0.8942	61	2	0	28	388	1,1,1	0,6,22	0.78,0.89,0.88	[378.25594580003053, 2]	2
